Resource,Category,PPUs_Dependent,Components_Using,Criticality,Primary_Producers,Production_Dataset,Source_URL
Iron/Steel,Base Metal,"HYD_R,HYD_S,PV,WD_ON,WD_OFF,SOL_SALT,SOL_STEAM,SOL_SALT_STORE,THERM,THERM_M,THERM_CH4,H2_G,H2P_G,H2P_L,NH3_FULL,NH3_P,SYN_METH,SYN_FT,SYN_CRACK,BIO_OIL_ICE,PALM_ICE,BIO_WOOD,IMP_BIOG,CH4_BIO,PHS","Turbines,structures,storage tanks,pipelines,all infrastructure",Low,"China,India,Japan,USA,Russia",USGS MCS,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025.pdf
Copper,Base Metal,"HYD_R,HYD_S,PV,WD_ON,WD_OFF,SOL_SALT,SOL_STEAM,THERM,THERM_M,THERM_CH4,H2P_G,H2P_L,BIO_OIL_ICE,PALM_ICE,BIO_WOOD,PHS","Windings,cables,transformers,grid connections,inverters",Medium,"Chile,Peru,China,DRC,USA",USGS MCS,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025.pdf
Aluminium,Base Metal,"HYD_R,HYD_S,PV,WD_ON,WD_OFF,SOL_SALT,SOL_STEAM,SOL_SALT_STORE","Grid connections,PV frames,inverters,structures",Low,"China,India,Russia,Canada,UAE",USGS MCS,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025.pdf
Silicon,Semiconductor,"PV,WD_ON,WD_OFF","PV cells,power electronics,semiconductors",Medium,"China,Russia,Norway,Brazil,USA",USGS MCS,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025.pdf
Silver,Precious Metal,PV,"PV cell contacts,conductive paste",Medium,"Mexico,China,Peru,Chile,Poland",USGS MCS,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025.pdf
Lithium,Battery Critical,"PV,WD_ON,WD_OFF",Li-ion battery systems,High,"Australia,Chile,China,Argentina,Brazil",USGS MCS,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025.pdf
Cobalt,Battery Critical,"PV,WD_ON,WD_OFF,SYN_FT,SYN_CRACK","Li-ion batteries,FT catalysts,hydroprocessing catalysts",Very High,"DRC,Russia,Australia,Philippines,Cuba",USGS MCS,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025.pdf
Nickel,Battery/Catalyst,"PV,WD_ON,WD_OFF,THERM,THERM_CH4,H2P_G,H2P_L,NH3_P,SYN_METH,SYN_FT,SYN_CRACK","Li-ion batteries,superalloys,catalysts",High,"Indonesia,Philippines,Russia,New Caledonia,Australia",USGS MCS,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025.pdf
Manganese,Battery Critical,"PV,WD_ON,WD_OFF",Li-ion battery cathodes,Medium,"South Africa,Gabon,Australia,China,Ghana",USGS MCS,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025.pdf
Graphite,Battery Critical,"PV,WD_ON,WD_OFF",Li-ion battery anodes,High,"China,Mozambique,Madagascar,Brazil,Russia",USGS MCS,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025.pdf
Rare Earth Elements (Nd/Dy),Critical Mineral,"WD_ON,WD_OFF",Permanent magnets (PMSG wind turbines),Very High,"China,USA,Myanmar,Australia,Thailand",USGS MCS,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025.pdf
Platinum Group Metals (Pt/Ir),Critical Mineral,"H2_G,BIO_OIL_ICE,PALM_ICE","PEM electrolyser catalysts,ICE aftertreatment",Very High,"South Africa,Russia,Zimbabwe,Canada,USA",USGS MCS,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025.pdf
