key,category,default_value,unit,lower_bound,upper_bound,notes
demand_base_twh_per_year,demand,62.0,TWh/year,,,Swiss electricity demand in 2019
demand_target_twh_per_year,demand,113.0,TWh/year,,,Electrified demand incl. nuclear replacement (2050)
demand_additional_twh_per_year,demand,74.0,TWh/year,,,Increment vs. 2019 needed from renewables
demand_electrification_addition_twh_per_year,demand,53.0,TWh/year,,,Added demand from electrification of uses
demand_nuclear_replacement_twh_per_year,demand,21.0,TWh/year,,,Added demand to replace nuclear output
buildout_cadence_twh_per_year,deployment,2.4,TWh/year,,,Average annual new production to 2050
day_night_storage_share_of_annual,storage_rules,0.0025,fraction of annual demand,0.0025,0.0025,Rule of thumb: 0.25% of annual electricity demand
seasonal_storage_share_of_annual,storage_rules,0.25,fraction of annual demand,0.25,0.25,Rule of thumb: 25% of annual electricity demand
seasonal_storage_absolute_twh,storage_rules,20.0,TWh,,,Seasonal storage energy target for winter shift
seasonal_intake_power_required_gw,storage_rules,20.0,GW,,,Summer absorption power to fill seasonal storage
pv_peak_power_expected_gw,supply_profile,90.0,GW,,,Expected PV noon peak for +50 TWh/y PV
battery_power_cap_target_gw,supply_profile,32.0,GW,,,Target capped grid peak after local batteries
ppu_output_electricity_twh_per_year,ppu,8.76,TWh/year,,,Energy delivered per PPU (on demand)
ppu_required_count_core,planning,6.0,count,,,PPUs to supply missing band electricity (53 TWh/y)
ppu_required_count_redundancy,planning,2.0,count,,,Additional PPUs for redundancy (≈33%)
dam_height_increase_pct,planning,26.0,%,,,Dam raise to double lake storage capacity
storage_shift_from_summer_to_winter_twh,planning,9.0,TWh/year,,,Shift enabled by higher dams
biomass_for_heating_current_twh_per_year,planning,15.0,TWh/year,,,Current biomass allocated to heating
biomass_for_heating_additional_twh_per_year,planning,5.0,TWh/year,,,Additional biomass to heating
rooftop_pv_potential_twh_per_year,planning,24.0,TWh/year,,,All feasible roof areas covered with PV
grid_cost_adder_chf_per_kwh,costing,0.09,CHF/kWh,,,Adder to production cost for grid
finance_interest_rate_per_year,costing,0.02,1/year,,,Interest rate Z in annuity formula
pv_future_capex_chf_per_kwp,future_costs,200.0,CHF/kWp,,,Assumed future PV CAPEX
battery_future_capex_chf_per_kwh,future_costs,55.0,CHF/kWh,,,Assumed future battery CAPEX
electrolyser_future_capex_chf_per_kw,future_costs,500.0,CHF/kW,,,Assumed future electrolyser CAPEX
electrolyser_future_efficiency,future_costs,0.9,fraction,,,Assumed future electrolyser efficiency
